ID_Imovel;Area_m2;Preco_Venda_R$;Score_Prospeccao;Cluster_ID;Segmento_Imovel
IMOB-80384;69,23;392898,69;60,48;2;Eficiencia / Investimento Rapido
IMOB-80385;62,23;650566,85;52,71;1;Potencial Alto Padrao
IMOB-80386;89,51;561527,23;85,08;2;Eficiencia / Investimento Rapido
IMOB-80387;95,25;715415,55;23,14;1;Potencial Alto Padrao
IMOB-80388;141,29;1407348,13;55,52;0;Oportunidades Economicas
IMOB-80389;113,51;733809,69;27,45;1;Potencial Alto Padrao
IMOB-80390;67,69;704534,21;41,95;1;Potencial Alto Padrao
IMOB-80391;58,05;609081,73;76,2;2;Eficiencia / Investimento Rapido
IMOB-80392;99,76;852409,17;54,51;0;Oportunidades Economicas
IMOB-80393;45,39;251400,76;46,2;2;Eficiencia / Investimento Rapido
IMOB-80394;139,94;1010705,88;47,74;0;Oportunidades Economicas
IMOB-80395;120,38;1107713,45;53,13;0;Oportunidades Economicas
IMOB-80396;70,92;807628,21;80,16;2;Eficiencia / Investimento Rapido
IMOB-80397;40,0;371635,25;89,04;2;Eficiencia / Investimento Rapido
IMOB-80398;125,62;886702,13;94,29;0;Oportunidades Economicas
IMOB-80399;81,56;758872,43;80,31;2;Eficiencia / Investimento Rapido
IMOB-80400;122,13;1067444,72;41,18;0;Oportunidades Economicas
IMOB-80401;40,0;407162,89;72,12;2;Eficiencia / Investimento Rapido
IMOB-80402;67,02;411621,37;51,32;2;Eficiencia / Investimento Rapido
IMOB-80403;85,16;857207,75;36,14;1;Potencial Alto Padrao
IMOB-80404;86,41;755874,98;84,79;2;Eficiencia / Investimento Rapido
IMOB-80405;71,5;806351,42;18,19;1;Potencial Alto Padrao
IMOB-80406;103,69;782953,35;89,85;0;Oportunidades Economicas
IMOB-80407;52,97;492407,78;53,3;2;Eficiencia / Investimento Rapido
IMOB-80408;80,73;895455,42;67,89;2;Eficiencia / Investimento Rapido
IMOB-80409;88,61;541848,41;69,73;2;Eficiencia / Investimento Rapido
IMOB-80410;100,43;1117155,35;89,29;0;Oportunidades Economicas
IMOB-80411;106,35;1023849,92;67,84;0;Oportunidades Economicas
IMOB-80412;51,26;302798,32;65,96;2;Eficiencia / Investimento Rapido
IMOB-80413;40,0;292231,26;20,53;1;Potencial Alto Padrao
IMOB-80414;123,33;1202351,15;58,03;0;Oportunidades Economicas
IMOB-80415;94,97;560709,3;27,46;1;Potencial Alto Padrao
IMOB-80416;62,55;562472,24;76,21;2;Eficiencia / Investimento Rapido
IMOB-80417;131,53;996413,53;57,51;0;Oportunidades Economicas
IMOB-80418;88,47;816181,58;71,46;2;Eficiencia / Investimento Rapido
IMOB-80419;120,38;695122,29;18,46;1;Potencial Alto Padrao
IMOB-80420;87,03;933716,39;22,04;1;Potencial Alto Padrao
IMOB-80421;146,82;1665103,55;74,45;0;Oportunidades Economicas
IMOB-80422;137,66;1557386,9;20,98;0;Oportunidades Economicas
IMOB-80423;77,53;775148,79;20,91;1;Potencial Alto Padrao
IMOB-80424;114,15;716903,03;16,01;1;Potencial Alto Padrao
IMOB-80425;104,36;1048786,93;94,39;0;Oportunidades Economicas
IMOB-80426;126,06;711920,61;76,21;0;Oportunidades Economicas
IMOB-80427;56,05;315728,08;44,32;1;Potencial Alto Padrao
IMOB-80428;105,58;785702,09;39,61;1;Potencial Alto Padrao
IMOB-80429;116,75;984442,61;44,03;0;Oportunidades Economicas
IMOB-80430;40,0;404897,78;79,3;2;Eficiencia / Investimento Rapido
IMOB-80431;49,5;475210,27;69,89;2;Eficiencia / Investimento Rapido
IMOB-80432;40,0;327016,65;30,37;1;Potencial Alto Padrao
IMOB-80433;76,92;549328,43;29,45;1;Potencial Alto Padrao
IMOB-80434;106,53;1223214,18;23,17;0;Oportunidades Economicas
IMOB-80435;130,07;1047991,15;69,81;0;Oportunidades Economicas
IMOB-80436;87,22;715953,2;78,44;2;Eficiencia / Investimento Rapido
IMOB-80437;133,86;867636,17;37,0;0;Oportunidades Economicas
IMOB-80438;43,6;447690,92;16,74;1;Potencial Alto Padrao
IMOB-80439;40,0;386483,73;21,82;1;Potencial Alto Padrao
IMOB-80440;83,33;568719,75;95,33;2;Eficiencia / Investimento Rapido
IMOB-80441;96,52;578580,28;39,52;1;Potencial Alto Padrao
IMOB-80442;84,02;805155,24;78,85;2;Eficiencia / Investimento Rapido
IMOB-80443;40,0;377082,69;66,85;2;Eficiencia / Investimento Rapido
IMOB-80444;82,33;587774,03;46,7;1;Potencial Alto Padrao
IMOB-80445;45,87;513935,9;32,07;1;Potencial Alto Padrao
IMOB-80446;105,09;673244,17;25,08;1;Potencial Alto Padrao
IMOB-80447;96,0;777008,23;66,05;0;Oportunidades Economicas
IMOB-80448;56,8;634024,56;79,29;2;Eficiencia / Investimento Rapido
IMOB-80449;69,58;557949,77;68,44;2;Eficiencia / Investimento Rapido
IMOB-80450;53,22;496637,64;59,02;2;Eficiencia / Investimento Rapido
IMOB-80451;83,12;655445,34;18,48;1;Potencial Alto Padrao
IMOB-80452;113,65;812092,85;95,38;0;Oportunidades Economicas
IMOB-80453;55,43;632095,97;81,29;2;Eficiencia / Investimento Rapido
IMOB-80454;100,12;796566,23;39,3;1;Potencial Alto Padrao
IMOB-80455;69,09;750659,56;96,34;2;Eficiencia / Investimento Rapido
IMOB-80456;61,21;421134,37;64,96;2;Eficiencia / Investimento Rapido
IMOB-80457;81,79;554417,83;63,34;2;Eficiencia / Investimento Rapido
IMOB-80458;53,94;306761,76;77,09;2;Eficiencia / Investimento Rapido
IMOB-80459;68,39;643554,87;82,38;2;Eficiencia / Investimento Rapido
IMOB-80460;49,06;378337,66;69,49;2;Eficiencia / Investimento Rapido
IMOB-80461;143,94;1538183,1;25,63;0;Oportunidades Economicas
IMOB-80462;86,06;717659,21;43,08;1;Potencial Alto Padrao
IMOB-80463;64,01;723879,4;92,03;2;Eficiencia / Investimento Rapido
IMOB-80464;91,42;604570,47;33,64;1;Potencial Alto Padrao
IMOB-80465;81,63;874400,95;45,89;1;Potencial Alto Padrao
IMOB-80466;78,37;796215,64;50,86;1;Potencial Alto Padrao
IMOB-80467;103,43;1047233,06;51,47;0;Oportunidades Economicas
IMOB-80468;107,73;1138515,58;65,87;0;Oportunidades Economicas
IMOB-80469;69,08;695419,21;93,28;2;Eficiencia / Investimento Rapido
IMOB-80470;67,73;626956,32;34,98;1;Potencial Alto Padrao
IMOB-80471;76,75;482553,51;25,08;1;Potencial Alto Padrao
IMOB-80472;40,0;227806,28;31,39;1;Potencial Alto Padrao
IMOB-80473;40,0;441003,48;88,61;2;Eficiencia / Investimento Rapido
IMOB-80474;126,01;1159244,93;68,6;0;Oportunidades Economicas
IMOB-80475;134,35;1381003,75;38,73;0;Oportunidades Economicas
IMOB-80476;77,53;650400,5;82,72;2;Eficiencia / Investimento Rapido
IMOB-80477;102,3;634633,35;86,49;2;Eficiencia / Investimento Rapido
IMOB-80478;94,34;589714,57;85,26;2;Eficiencia / Investimento Rapido
IMOB-80479;177,37;1705092,91;91,27;0;Oportunidades Economicas
IMOB-80480;118,59;958402,61;35,94;0;Oportunidades Economicas
IMOB-80481;81,16;544044,09;77,67;2;Eficiencia / Investimento Rapido
IMOB-80482;56,33;475996,12;53,22;2;Eficiencia / Investimento Rapido
IMOB-80483;40,0;235410,14;84,89;2;Eficiencia / Investimento Rapido
IMOB-80484;91,1;819190,72;75,46;2;Eficiencia / Investimento Rapido
IMOB-80485;62,31;443267,16;79,45;2;Eficiencia / Investimento Rapido
IMOB-80486;42,33;435403,63;69,46;2;Eficiencia / Investimento Rapido
IMOB-80487;65,6;482979,18;29,73;1;Potencial Alto Padrao
IMOB-80488;52,55;432585,22;60,24;2;Eficiencia / Investimento Rapido
IMOB-80489;135,61;755333,83;96,73;0;Oportunidades Economicas
IMOB-80490;111,45;661415,44;92,8;2;Eficiencia / Investimento Rapido
IMOB-80491;84,76;665792,97;18,58;1;Potencial Alto Padrao
IMOB-80492;129,4;1084310,47;28,68;0;Oportunidades Economicas
IMOB-80493;87,32;794632,31;25,93;1;Potencial Alto Padrao
IMOB-80494;59,16;428919,24;75,26;2;Eficiencia / Investimento Rapido
IMOB-80495;130,69;1263794,09;82,88;0;Oportunidades Economicas
IMOB-80496;101,17;1078517,73;32,72;0;Oportunidades Economicas
IMOB-80497;53,88;548476,85;56,99;2;Eficiencia / Investimento Rapido
IMOB-80498;79,29;454942,34;84,78;2;Eficiencia / Investimento Rapido
IMOB-80499;58,73;492348,21;75,82;2;Eficiencia / Investimento Rapido
IMOB-80500;43,52;266734,9;60,01;2;Eficiencia / Investimento Rapido
IMOB-80501;112,79;784114,05;64,0;0;Oportunidades Economicas
IMOB-80502;142,28;1624862,66;57,19;0;Oportunidades Economicas
IMOB-80503;43,04;273536,94;39,7;1;Potencial Alto Padrao
IMOB-80504;101,89;865377,45;61,9;0;Oportunidades Economicas
IMOB-80505;65,48;603007,68;72,18;2;Eficiencia / Investimento Rapido
IMOB-80506;70,39;683787,51;87,49;2;Eficiencia / Investimento Rapido
IMOB-80507;67,23;595499,98;67,81;2;Eficiencia / Investimento Rapido
IMOB-80508;59,08;328405,11;78,17;2;Eficiencia / Investimento Rapido
IMOB-80509;86,46;644852,61;28,29;1;Potencial Alto Padrao
IMOB-80510;60,07;516991,51;53,31;2;Eficiencia / Investimento Rapido
IMOB-80511;93,11;561214,83;15,77;1;Potencial Alto Padrao
IMOB-80512;83,49;634859,78;35,47;1;Potencial Alto Padrao
IMOB-80513;77,83;443579,07;75,3;2;Eficiencia / Investimento Rapido
IMOB-80514;57,77;344990,33;97,32;2;Eficiencia / Investimento Rapido
IMOB-80515;67,7;533555,49;23,23;1;Potencial Alto Padrao
IMOB-80516;107,66;677870,0;48,32;1;Potencial Alto Padrao
IMOB-80517;100,03;890769,54;81,41;0;Oportunidades Economicas
IMOB-80518;55,67;536512,3;31,93;1;Potencial Alto Padrao
IMOB-80519;87,98;906503,39;61,07;0;Oportunidades Economicas
IMOB-80520;107,54;720625,76;75,84;0;Oportunidades Economicas
IMOB-80521;40,0;260195,82;66,13;2;Eficiencia / Investimento Rapido
IMOB-80522;101,3;620711,27;30,61;1;Potencial Alto Padrao
IMOB-80523;65,12;606838,02;44,5;1;Potencial Alto Padrao
IMOB-80524;102,12;994511,94;80,05;0;Oportunidades Economicas
IMOB-80525;62,1;353331,66;61,0;2;Eficiencia / Investimento Rapido
IMOB-80526;40,0;444690,94;15,43;1;Potencial Alto Padrao
IMOB-80527;40,0;232473,11;78,16;2;Eficiencia / Investimento Rapido
IMOB-80528;86,44;756180,22;17,93;1;Potencial Alto Padrao
IMOB-80529;92,79;905123,69;76,9;0;Oportunidades Economicas
IMOB-80530;57,87;620708,28;31,81;1;Potencial Alto Padrao
IMOB-80531;104,16;1019133,99;94,52;0;Oportunidades Economicas
IMOB-80532;40,0;412414,74;45,54;1;Potencial Alto Padrao
IMOB-80533;83,02;625678,89;42,14;1;Potencial Alto Padrao
IMOB-80534;48,67;505625,18;27,36;1;Potencial Alto Padrao
IMOB-80535;65,44;391405,7;40,37;1;Potencial Alto Padrao
IMOB-80536;86,42;939311,64;87,76;0;Oportunidades Economicas
IMOB-80537;59,19;519995,86;97,7;2;Eficiencia / Investimento Rapido
IMOB-80538;73,46;764296,85;45,57;1;Potencial Alto Padrao
IMOB-80539;115,19;946150,27;52,23;0;Oportunidades Economicas
IMOB-80540;67,69;633708,01;74,93;2;Eficiencia / Investimento Rapido
IMOB-80541;110,07;953038,45;88,55;0;Oportunidades Economicas
IMOB-80542;51,11;505442,32;64,22;2;Eficiencia / Investimento Rapido
IMOB-80543;100,89;604333,6;47,5;1;Potencial Alto Padrao
IMOB-80544;128,25;751798,69;49,25;0;Oportunidades Economicas
IMOB-80545;40,0;279304,78;72,74;2;Eficiencia / Investimento Rapido
IMOB-80546;61,09;394494,8;15,27;1;Potencial Alto Padrao
IMOB-80547;102,31;1097881,28;66,43;0;Oportunidades Economicas
IMOB-80548;78,91;537784,77;44,51;1;Potencial Alto Padrao
IMOB-80549;96,13;1091624,25;80,92;0;Oportunidades Economicas
IMOB-80550;66,88;503032,89;22,72;1;Potencial Alto Padrao
IMOB-80551;87,6;577505,97;63,82;2;Eficiencia / Investimento Rapido
IMOB-80552;80,33;822430,64;54,92;1;Potencial Alto Padrao
IMOB-80553;120,03;1134585,89;68,31;0;Oportunidades Economicas
IMOB-80554;92,63;786374,5;20,38;1;Potencial Alto Padrao
IMOB-80555;95,13;840188,45;63,14;0;Oportunidades Economicas
IMOB-80556;72,64;713013,13;61,6;2;Eficiencia / Investimento Rapido
IMOB-80557;70,37;483505,62;61,53;2;Eficiencia / Investimento Rapido
IMOB-80558;72,02;826683,17;65,09;2;Eficiencia / Investimento Rapido
IMOB-80559;96,83;1098940,78;71,15;0;Oportunidades Economicas
IMOB-80560;72,37;680423,8;81,81;2;Eficiencia / Investimento Rapido
IMOB-80561;93,69;627487,53;37,4;1;Potencial Alto Padrao
IMOB-80562;147,26;1410971,86;83,48;0;Oportunidades Economicas
IMOB-80563;111,13;659377,65;56,36;0;Oportunidades Economicas
IMOB-80564;75,22;427540,07;21,4;1;Potencial Alto Padrao
IMOB-80565;121,04;852834,38;19,86;1;Potencial Alto Padrao
IMOB-80566;72,76;602123,96;42,74;1;Potencial Alto Padrao
IMOB-80567;40,0;428385,4;80,15;2;Eficiencia / Investimento Rapido
IMOB-80568;54,76;540073,13;73,74;2;Eficiencia / Investimento Rapido
IMOB-80569;40,0;398249,57;80,46;2;Eficiencia / Investimento Rapido
IMOB-80570;74,45;599579,88;57,93;2;Eficiencia / Investimento Rapido
IMOB-80571;85,55;648112,76;51,54;1;Potencial Alto Padrao
IMOB-80572;135,29;1045306,11;27,24;0;Oportunidades Economicas
IMOB-80573;94,81;1083264,44;42,24;0;Oportunidades Economicas
IMOB-80574;78,43;450222,27;51,02;1;Potencial Alto Padrao
IMOB-80575;109,88;1175979,72;22,35;0;Oportunidades Economicas
IMOB-80576;40,0;358882,1;33,31;1;Potencial Alto Padrao
IMOB-80577;92,07;748672,22;64,65;2;Eficiencia / Investimento Rapido
IMOB-80578;108,13;1065207,82;76,06;0;Oportunidades Economicas
IMOB-80579;40,64;342209,67;97,86;2;Eficiencia / Investimento Rapido
IMOB-80580;119,31;1281481,91;92,45;0;Oportunidades Economicas
IMOB-80581;95,15;1037589,04;68,33;0;Oportunidades Economicas
IMOB-80582;72,54;582530,76;49,96;1;Potencial Alto Padrao
IMOB-80583;103,98;744622,07;67,8;0;Oportunidades Economicas
IMOB-80584;153,12;1386371,21;80,21;0;Oportunidades Economicas
IMOB-80585;90,46;992680,3;24,82;1;Potencial Alto Padrao
IMOB-80586;92,45;625306,44;49,02;1;Potencial Alto Padrao
IMOB-80587;71,22;657908,44;84,7;2;Eficiencia / Investimento Rapido
IMOB-80588;59,5;552760,37;46,86;1;Potencial Alto Padrao
IMOB-80589;109,91;1087964,45;62,47;0;Oportunidades Economicas
IMOB-80590;59,32;373071,75;63,78;2;Eficiencia / Investimento Rapido
IMOB-80591;87,15;853600,36;30,31;1;Potencial Alto Padrao
IMOB-80592;70,67;774136,0;45,07;1;Potencial Alto Padrao
IMOB-80593;99,37;653661,68;42,76;1;Potencial Alto Padrao
IMOB-80594;95,01;657968,0;17,17;1;Potencial Alto Padrao
IMOB-80595;116,13;1315520,61;17,01;0;Oportunidades Economicas
IMOB-80596;69,7;459031,32;84,03;2;Eficiencia / Investimento Rapido
IMOB-80597;76,9;817203,15;37,66;1;Potencial Alto Padrao
IMOB-80598;55,64;470337,43;58,0;2;Eficiencia / Investimento Rapido
IMOB-80599;71,67;500507,7;39,79;1;Potencial Alto Padrao
IMOB-80600;96,32;1032973,22;93,08;0;Oportunidades Economicas
